C,Si,Mn,P,S,Ni,Cr,Cu,Mo,RR,dA,dB,dC,diagnosis,Tensile,Fracture,Hardness
0.42,0.24,1.58,0.014,0.022,0.06,0.17,0.07,0,480,0.02,0,0,459,842,1558,270
0.42,0.21,1.51,0.026,0.019,0.02,0.12,0.01,0,1510,0,0,0.03,497,890,1583,286
0.45,0.33,1.58,0.008,0.007,0.06,0.1,0.08,0,740,0.02,0,0.01,451,874,1580,277
0.41,0.34,1.36,0.02,0.015,0.07,0.27,0.1,0,1100,0.04,0,0,497,897,1589,286
0.4,0.25,1.47,0.027,0.016,0.02,0.04,0.01,0,1510,0,0,0.02,461,862,1559,270
0.41,0.22,1.48,0.01,0.007,0.03,0.08,0.06,0,820,0.02,0,0.01,399,801,1552,260
0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0,1100,0.03,0,0,502,935,1612,294
0.43,0.26,1.46,0.012,0.017,0.02,0.19,0.02,0,1740,0.07,0,0,490,878,1620,280
0.41,0.22,1.58,0.014,0.018,0.04,0.13,0.05,0,480,0.02,0,0,424,816,1558,273
0.42,0.23,1.5,0.01,0.009,0.04,0.15,0.05,0,820,0.03,0,0,411,757,1527,242
0.43,0.34,1.38,0.017,0.01,0.08,0.26,0.1,0,1100,0.03,0,0,448,826,1575,260
0.42,0.21,1.6,0.014,0.015,0.03,0.12,0.07,0,480,0.02,0,0,404,755,1531,242
0.42,0.24,1.58,0.014,0.022,0.06,0.17,0.07,0,480,0.02,0,0,411,760,1535,243
0.42,0.21,1.51,0.026,0.019,0.02,0.12,0.01,0,1510,0,0,0.03,438,790,1549,255
0.45,0.33,1.58,0.008,0.007,0.06,0.1,0.08,0,740,0.02,0,0.01,410,805,1497,250
0.41,0.34,1.36,0.02,0.015,0.07,0.27,0.1,0,1100,0.04,0,0,450,829,1580,263
0.4,0.25,1.47,0.027,0.016,0.02,0.04,0.01,0,1510,0,0,0.02,410,772,1531,242
0.41,0.22,1.48,0.01,0.007,0.03,0.08,0.06,0,820,0.02,0,0.01,383,737,1506,237
0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0,1100,0.03,0,0,460,840,1568,265
0.43,0.26,1.46,0.012,0.017,0.02,0.19,0.02,0,1740,0.07,0,0,442,794,1595,257
0.41,0.22,1.58,0.014,0.018,0.04,0.13,0.05,0,480,0.02,0,0,399,744,1524,241
0.32,0.3,0.49,0.008,0.006,2.66,0.82,0.09,0,610,0,0,0.01,563,988,1759,315
0.32,0.24,0.58,0.009,0.01,2.65,0.71,0.06,0,700,0.01,0.01,0.03,530,948,1738,299
0.32,0.29,0.54,0.018,0.004,2.64,0.75,0.05,0,420,0,0,0.02,570,1013,1744,319
0.35,0.26,0.54,0.019,0.003,2.78,0.89,0.05,0,420,0,0,0.02,578,1081,1749,341
0.31,0.22,0.56,0.016,0.016,2.63,0.71,0.1,0,700,0.01,0,0.01,537,962,1718,301
0.33,0.3,0.49,0.009,0.006,2.66,0.82,0.06,0,820,0.01,0,0.01,569,1014,1803,319
0.28,0.27,0.53,0.019,0.009,2.67,0.87,0.05,0,420,0.02,0,0.02,576,1022,1749,322
0.34,0.26,0.65,0.01,0.009,2.63,0.84,0.05,0,700,0.01,0,0.01,549,998,1772,313
0.3,0.27,0.53,0.018,0.008,2.7,0.81,0.07,0,820,0.01,0,0.01,522,989,1762,312
0.32,0.3,0.52,0.013,0.009,2.67,0.77,0.06,0,1740,0.03,0,0,570,1010,1715,316
0.32,0.3,0.49,0.008,0.006,2.66,0.82,0.09,0,610,0,0,0.01,510,906,1683,288
0.32,0.24,0.58,0.009,0.01,2.65,0.71,0.06,0,700,0.01,0.01,0.03,510,886,1714,279
0.32,0.29,0.54,0.018,0.004,2.64,0.75,0.05,0,420,0,0,0.02,517,941,1728,296
0.35,0.26,0.54,0.019,0.003,2.78,0.89,0.05,0,420,0,0,0.02,540,1016,1716,318
0.31,0.22,0.56,0.016,0.016,2.63,0.71,0.1,0,700,0.01,0,0.01,518,897,1682,282
0.33,0.3,0.49,0.009,0.006,2.66,0.82,0.06,0,820,0.01,0,0.01,523,928,1692,292
0.28,0.27,0.53,0.019,0.009,2.67,0.87,0.05,0,420,0.02,0,0.02,537,950,1720,301
0.34,0.26,0.65,0.01,0.009,2.63,0.84,0.05,0,700,0.01,0,0.01,536,918,1690,291
0.3,0.27,0.53,0.018,0.008,2.7,0.81,0.07,0,820,0.01,0,0.01,503,901,1702,281
0.32,0.3,0.52,0.013,0.009,2.67,0.77,0.06,0,1740,0.03,0,0,540,928,1709,290
0.32,0.3,0.49,0.008,0.006,2.66,0.82,0.09,0,610,0,0,0.01,490,840,1654,267
0.32,0.24,0.58,0.009,0.01,2.65,0.71,0.06,0,700,0.01,0.01,0.03,477,821,1682,261
0.32,0.29,0.54,0.018,0.004,2.64,0.75,0.05,0,420,0,0,0.02,483,849,1690,268
0.35,0.26,0.54,0.019,0.003,2.78,0.89,0.05,0,420,0,0,0.02,503,909,1669,286
0.31,0.22,0.56,0.016,0.016,2.63,0.71,0.1,0,700,0.01,0,0.01,471,833,1683,261
0.33,0.3,0.49,0.009,0.006,2.66,0.82,0.06,0,820,0.01,0,0.01,476,851,1685,267
0.28,0.27,0.53,0.019,0.009,2.67,0.87,0.05,0,420,0.02,0,0.02,502,850,1679,268
0.34,0.26,0.65,0.01,0.009,2.63,0.84,0.05,0,700,0.01,0,0.01,496,854,1686,268
0.3,0.27,0.53,0.018,0.008,2.7,0.81,0.07,0,820,0.01,0,0.01,471,838,1650,262
0.32,0.3,0.52,0.013,0.009,2.67,0.77,0.06,0,1740,0.03,0,0,497,846,1707,264
0.39,0.19,0.77,0.01,0.012,1.67,0.72,0.07,0.18,640,0.01,0,0,591,1070,1777,342
0.4,0.23,0.7,0.011,0.01,1.82,0.78,0.09,0.18,740,0.05,0,0.01,590,1087,1792,338
0.4,0.29,0.79,0.022,0.009,1.92,0.96,0.05,0.24,420,0.03,0,0.01,606,1144,1822,359
0.4,0.25,0.7,0.021,0.02,1.63,0.71,0.08,0.17,590,0.07,0,0.01,584,1105,1806,347
0.38,0.26,0.71,0.016,0.017,1.8,0.75,0.04,0.23,940,0.08,0,0.01,604,1125,1884,354
0.4,0.33,0.73,0.011,0.012,1.71,0.74,0.08,0.2,1290,0.06,0,0,591,1089,1842,340
0.42,0.25,0.73,0.012,0.021,1.69,0.73,0.09,0.22,640,0.02,0.01,0.01,588,1108,1840,345
0.38,0.26,0.71,0.016,0.008,1.66,0.72,0.12,0.16,590,0.06,0.01,0,588,1085,1776,347
0.41,0.29,0.74,0.013,0.01,1.84,0.74,0.12,0.22,820,0.04,0,0,550,1117,1840,348
0.39,0.25,0.71,0.015,0.013,1.76,0.82,0.09,0.23,640,0.03,0,0,609,1129,1829,360
0.38,0.29,0.7,0.012,0.008,1.75,0.74,0.07,0.19,820,0.04,0.01,0.01,604,1089,1788,348
0.42,0.3,0.78,0.016,0.004,1.9,0.86,0.04,0.24,420,0.03,0,0,619,1190,1909,369
0.37,0.29,0.76,0.017,0.01,1.88,0.9,0.03,0.24,420,0.07,0,0.01,643,1174,1867,367
0.43,0.26,0.68,0.012,0.018,1.62,0.68,0.09,0.17,590,0.07,0,0,569,1085,1824,345
0.39,0.19,0.77,0.01,0.012,1.67,0.72,0.07,0.18,640,0.01,0,0,551,957,1750,307
0.4,0.23,0.7,0.011,0.01,1.82,0.78,0.09,0.18,740,0.05,0,0.01,543,984,1733,307
0.4,0.29,0.79,0.022,0.009,1.92,0.96,0.05,0.24,420,0.03,0,0.01,543,1037,1746,328
0.4,0.25,0.7,0.021,0.02,1.63,0.71,0.08,0.17,590,0.07,0,0.01,524,985,1716,309
0.38,0.26,0.71,0.016,0.017,1.8,0.75,0.04,0.23,940,0.08,0,0.01,571,1020,1780,318
0.4,0.33,0.73,0.011,0.012,1.71,0.74,0.08,0.2,1290,0.06,0,0,542,990,1761,310
0.42,0.25,0.73,0.012,0.021,1.69,0.73,0.09,0.22,640,0.02,0.01,0.01,531,1005,1755,315
0.38,0.26,0.71,0.016,0.008,1.66,0.72,0.12,0.16,590,0.06,0.01,0,531,962,1702,309
0.41,0.29,0.74,0.013,0.01,1.84,0.74,0.12,0.22,820,0.04,0,0,512,1003,1756,316
0.39,0.25,0.71,0.015,0.013,1.76,0.82,0.09,0.23,640,0.03,0,0,563,1004,1753,322
0.38,0.29,0.7,0.012,0.008,1.75,0.74,0.07,0.19,820,0.04,0.01,0.01,550,975,1713,312
0.42,0.3,0.78,0.016,0.004,1.9,0.86,0.04,0.24,420,0.03,0,0,583,1068,1800,337
0.37,0.29,0.76,0.017,0.01,1.88,0.9,0.03,0.24,420,0.07,0,0.01,583,1069,1800,336
0.43,0.26,0.68,0.012,0.018,1.62,0.68,0.09,0.17,590,0.07,0,0,550,973,1729,313
0.39,0.19,0.77,0.01,0.012,1.67,0.72,0.07,0.18,640,0.01,0,0,482,843,1684,270
0.4,0.23,0.7,0.011,0.01,1.82,0.78,0.09,0.18,740,0.05,0,0.01,482,868,1687,276
0.4,0.29,0.79,0.022,0.009,1.92,0.96,0.05,0.24,420,0.03,0,0.01,490,900,1672,282
0.4,0.25,0.7,0.021,0.02,1.63,0.71,0.08,0.17,590,0.07,0,0.01,476,864,1650,274
0.38,0.26,0.71,0.016,0.017,1.8,0.75,0.04,0.23,940,0.08,0,0.01,483,879,1691,276
0.4,0.33,0.73,0.011,0.012,1.71,0.74,0.08,0.2,1290,0.06,0,0,480,875,1694,276
0.42,0.25,0.73,0.012,0.021,1.69,0.73,0.09,0.22,640,0.02,0.01,0.01,491,883,1667,280
0.38,0.26,0.71,0.016,0.008,1.66,0.72,0.12,0.16,590,0.06,0.01,0,471,848,1633,271
0.41,0.29,0.74,0.013,0.01,1.84,0.74,0.12,0.22,820,0.04,0,0,469,881,1626,279
0.39,0.25,0.71,0.015,0.013,1.76,0.82,0.09,0.23,640,0.03,0,0,490,874,1685,285
0.38,0.29,0.7,0.012,0.008,1.75,0.74,0.07,0.19,820,0.04,0.01,0.01,483,864,1656,279
0.42,0.3,0.78,0.016,0.004,1.9,0.86,0.04,0.24,420,0.03,0,0,498,912,1667,284
0.37,0.29,0.76,0.017,0.01,1.88,0.9,0.03,0.24,420,0.07,0,0.01,491,900,1717,283
0.43,0.26,0.68,0.012,0.018,1.62,0.68,0.09,0.17,590,0.07,0,0,463,855,1641,277
0.47,0.28,0.72,0.011,0.007,1.76,0.79,0.06,0,740,0.03,0,0.01,600,1149,1849,357
0.47,0.19,0.76,0.013,0.013,1.67,0.71,0.06,0,640,0.02,0,0,615,1111,1824,358
0.44,0.25,0.74,0.01,0.009,1.74,0.79,0.09,0,820,0.02,0,0.02,607,1151,1864,358
0.45,0.16,0.79,0.009,0.016,1.65,0.73,0.05,0,640,0.01,0,0,596,1072,1828,348
0.48,0.2,0.7,0.01,0.016,1.66,0.73,0.11,0,640,0.03,0,0,618,1138,1852,358
0.49,0.29,0.69,0.014,0.011,1.8,0.77,0.07,0,820,0.06,0,0.01,585,1167,1851,367
0.47,0.28,0.72,0.011,0.007,1.76,0.79,0.06,0,740,0.03,0,0.01,551,1032,1788,322
0.47,0.19,0.76,0.013,0.013,1.67,0.71,0.06,0,640,0.02,0,0,556,992,1748,318
0.44,0.25,0.74,0.01,0.009,1.74,0.79,0.09,0,820,0.02,0,0.02,550,1026,1769,323
0.45,0.16,0.79,0.009,0.016,1.65,0.73,0.05,0,640,0.01,0,0,537,969,1759,312
0.48,0.2,0.7,0.01,0.016,1.66,0.73,0.11,0,640,0.03,0,0,543,1012,1770,322
0.49,0.29,0.69,0.014,0.011,1.8,0.77,0.07,0,820,0.06,0,0.01,543,1046,1768,328
0.47,0.28,0.72,0.011,0.007,1.76,0.79,0.06,0,740,0.03,0,0.01,471,911,1669,288
0.47,0.19,0.76,0.013,0.013,1.67,0.71,0.06,0,640,0.02,0,0,476,878,1653,281
0.44,0.25,0.74,0.01,0.009,1.74,0.79,0.09,0,820,0.02,0,0.02,482,895,1625,287
0.45,0.16,0.79,0.009,0.016,1.65,0.73,0.05,0,640,0.01,0,0,477,860,1680,281
0.48,0.2,0.7,0.01,0.016,1.66,0.73,0.11,0,640,0.03,0,0,491,881,1668,286
0.49,0.29,0.69,0.014,0.011,1.8,0.77,0.07,0,820,0.06,0,0.01,479,909,1633,290
